Transaction ID;Products;Date;Categories;Codes
T55;HERS PROTEX MAXI WING 20 S, JB COLOGNE SLIDE 100 ML, NICE FACIAL 250S LIVING, PROMINA BUBUR 20 G BERAS MERAH, PROMINA PUFFS STRAWBERRY APPLE 15 G, SOKLIN SOFT 215 GR  PURPLE;2023-06-07;PEMBALUT WANITA, PERLENGKAPAN BAYI, TISSU & KAPAS, MAKANAN, MAKANAN, SABUN;500142, 0120223, 124347, 530001, 640038, 610070
T56;BERAS CAP IKAN MUJAER 5 KG, DE MALLA KRIPIK JAGUNG, GG SURYA 12, GULA PUTIH LOKAL, KOPI LUWAK WHITE KOFFIE 20 GR 1 RTG;2023-06-07;MAKANAN, MAKANAN, ROKOK, MAKANAN, MAKANAN;363636, 542141, 110129, 859384, 101289
T57;BUBUK MURNI 0.25 KG, ENERGEN KACANG HIJAU 1 RTG, LE MINERAL 600 ML 10 BTL, MADFURASA 25 GR ORIGINAL 1 KTK, MIE SEDAP KOREAN SPICY CHICKEN 10PC, MILKU COKLAT PREMIUM 200 ML 1 DOS, NICE FACIAL 250S LIVING, NOMOS PREMIUM  10 PCS, ROYCO SAPI 9 GR 1 RTG, SALONPAS 1 BKS ISI 12 LBR, SEDAP GORENG 10 PCS, SEDAP SOTO 10 PCS, SOKLIN SOFT PURPLE 320 GR 10 PCS, TEBS SPARKLING MIX FRUIT 330 ML 10, TELUR RAS A, VAPE JUMBO PREMIUM 10 BKS;2023-06-07;MAKANAN, MAKANAN, MAKANAN, OBAT, MAKANAN, MAKANAN, TISSU & KAPAS, OBAT NYAMUK KECOA SEMUT, MAKANAN, OBAT, MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN, OBAT NYAMUK KECOA SEMUT;456465, 440087, 600269, 731317, 202343, 202725, 124347, 300256, 502409, 060326, 200301, 200325, 610070, 853127, 783492, 130585
T58;KRUPUK SARI UDANG DACIL, MERICA, TEH 999 TANGGUNG;2023-06-08;MAKANAN, MAKANAN, MAKANAN;033114, MERICA, 670015
T59;BENG BENG 25 GR EXT CARAMEL, BETTER SANDWICH VANILA CREAM 100 GR, ME BENNO EYE GLASS, TWISTKO 30 GR BBQ, YUPI BOLICIOUS 5 GR STRAWBERRY, YUPI BURGER MAX;2023-06-08;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;354124, 3189080, EG, 402206, 906227, 907040
T60;HANANIA ROTI BIG BALL, INDOFOOD 135 ML EXTRA PEDAS, MAMASUKA MAYONAIS 100 GR;2023-06-09;MAKANAN, MAKANAN, MAKANAN;043403, 400816, 170073
T61;KING COCO 235 GR, LIFEBUOY 70 G MILD CARE, PERMEN HAWAI JAMIN;2023-06-09;MAKANAN, SABUN, MAKANAN;226019, 059316, 185751
T62;KACANG TANAH LOKAL, MKP LANG 60 ML, SHANGHAI MACAN KECIL, YUPI 7 GR LITTE STARS;2023-06-10;MAKANAN, OBAT, MAKANAN, MAKANAN;047902, 110074, 042703, 903004
T63;DETTOL MOISTURE ALOE 105GR, GG SURYA 12, INDOMILK UHT 190 ML VANILA, JAMU QU;2023-06-11;SABUN, ROKOK, MAKANAN, MAKANAN;025465, 110129, 000024, 043301
T64;CAMP SPONGEBOB STICK, DAIA SOFTENER 350 GR VIOLET, DAIA SOFTENER 480 GR VIOLET;2023-06-11;MAKANAN, SABUN, SABUN;720611, 610261, 610278
T65;BODREXIN, BUBUK MURNI 0.25 KG, MIXAGRIP FLU & BATUK;2023-06-12;OBAT, MAKANAN, OBAT;000705, 456465, 189026
T66;GG SURYA 12  1 PRES, GRENDEL BIRU 12 1 PRES, PLASTIK 88 1 KG 1 GDL;2023-06-12;ROKOK, ROKOK, PLASTIK & MIKA;110129, 129891, 076711
T67;DANCOW COKLAT 38 GR, FERMIPAN ASLI, TERIGU SEGITIGA;2023-06-13;MAKANAN, MAKANAN, MAKANAN;6525030, 740001, 845924
T68;BAWANG PUTIH, GIV 76 GR HIJAB ROSE WATER, H&S SHP ANTI KETOMBE 1LSN, HARMONY 70 GR ORANGE;2023-06-14;MAKANAN, SABUN, SHAMPO, SABUN;896564, 621571, 297219, 200886
T69;DJ LA 16 LIGHT 1 PRES, DJI SAM SOE 12 5 PACK, GRENDEL UTAMA ISI 5 PACK, GULA PUTIH LOKAL, KOPI LUWAK WHITE KOFFIE 20 GR  1 RT, SEDAP GORENG 1 DOS, SUPER TETRA 1 LBR, TOP KOPI SUSU PLUS GULA 1 RTG;2023-06-14;ROKOK, ROKOK, ROKOK, MAKANAN, MAKANAN, MAKANAN, OBAT, MAKANAN;101057, 028234, 122199, 859384, 101289, 200301, 060329, 200745
T70;BAWANG PUTIH, CAMP SPONGEBOB STICK, GULA KELAPA BLITAR, KACANG TANAH LOKAL, KECAP DORANG II 625 ML ISI, SOSIS KIMBO  SO NICE  IGA BAKAR;2023-06-14;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;896564, 720611, 696946, 047902, 498339, SS
