"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"98";"TAJIMAS GOLD GRENJENG 1 PRES";"GG SURYA 12";"14";"1,79 %";"42,42 %";"10,51 %";"4,04"
"99";"GG SURYA 12";"TAJIMAS GOLD GRENJENG 1 PRES";"14";"1,79 %";"17,07 %";"4,23 %";"4,04"
"100";"TERIGU BIASA";"MINYAK CURAH BIMOLI";"7";"0,90 %";"20,00 %";"5,38 %";"3,71"
"101";"MINYAK CURAH BIMOLI";"TERIGU BIASA";"7";"0,90 %";"16,67 %";"4,49 %";"3,71"
"102";"KACANG TANAH LOKAL";"TELUR RAS A";"6";"0,77 %";"22,22 %";"6,79 %";"3,27"
"103";"TELUR RAS A";"KACANG TANAH LOKAL";"6";"0,77 %";"11,32 %";"3,46 %";"3,27"
"104";"BAWANG PUTIH";"BUBUK MURNI 0.25 KG";"6";"0,77 %";"17,65 %";"5,51 %";"3,20"
"105";"BUBUK MURNI 0.25 KG";"BAWANG PUTIH";"6";"0,77 %";"13,95 %";"4,36 %";"3,20"
"106";"MIE SEDAP AYAM BAWANG";"GG SURYA 12";"5";"0,64 %";"33,33 %";"10,51 %";"3,17"
"107";"MINYAK CURAH BIMOLI";"TELUR RAS A";"9";"1,15 %";"21,43 %";"6,79 %";"3,15"
"108";"TELUR RAS A";"MINYAK CURAH BIMOLI";"9";"1,15 %";"16,98 %";"5,38 %";"3,15"
"109";"MIE SEDAP SOTO";"BUBUK MURNI 0.25 KG";"6";"0,77 %";"16,67 %";"5,51 %";"3,02"
"110";"BUBUK MURNI 0.25 KG";"MIE SEDAP SOTO";"6";"0,77 %";"13,95 %";"4,62 %";"3,02"
"111";"BALA BALA KANTONG 0.5 KG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"112";"INTERMI GORENG";"GULA PUTIH LOKAL";"6";"0,77 %";"54,55 %";"18,46 %";"2,95"
"113";"MIE SEDAP SOTO";"KRESEK LOREK JATAYU";"5";"0,64 %";"13,89 %";"5,00 %";"2,78"
"114";"KRESEK LOREK JATAYU";"MIE SEDAP SOTO";"5";"0,64 %";"12,82 %";"4,62 %";"2,78"
"115";"BUBUK MURNI 0.25 KG";"TELUR RAS A";"8";"1,03 %";"18,60 %";"6,79 %";"2,74"
"116";"TELUR RAS A";"BUBUK MURNI 0.25 KG";"8";"1,03 %";"15,09 %";"5,51 %";"2,74"
"117";"TEPUNG BERAS CAP LOMBOK";"GULA PUTIH LOKAL";"5";"0,64 %";"50,00 %";"18,46 %";"2,71"
"118";"BUBUK MURNI 0.25 KG";"MIE SEDAP GORENG";"8";"1,03 %";"18,60 %";"6,92 %";"2,69"
"119";"MIE SEDAP GORENG";"BUBUK MURNI 0.25 KG";"8";"1,03 %";"14,81 %";"5,51 %";"2,69"
"120";"KRESEK LOREK JATAYU";"TELUR RAS A";"7";"0,90 %";"17,95 %";"6,79 %";"2,64"
"121";"TELUR RAS A";"KRESEK LOREK JATAYU";"7";"0,90 %";"13,21 %";"5,00 %";"2,64"
"122";"MIE SEDAP SOTO";"TELUR RAS A";"6";"0,77 %";"16,67 %";"6,79 %";"2,45"
"123";"TELUR RAS A";"MIE SEDAP SOTO";"6";"0,77 %";"11,32 %";"4,62 %";"2,45"
"124";"KACANG TANAH LOKAL";"GULA PUTIH LOKAL";"12";"1,54 %";"44,44 %";"18,46 %";"2,41"
"125";"BUBUK MURNI 0.25 KG";"GULA PUTIH LOKAL";"19";"2,44 %";"44,19 %";"18,46 %";"2,39"
"126";"GULA PUTIH LOKAL";"BUBUK MURNI 0.25 KG";"19";"2,44 %";"13,19 %";"5,51 %";"2,39"
"127";"BIHUN JAGUNG PADAMU 380 GR MERAH";"GULA PUTIH LOKAL";"5";"0,64 %";"41,67 %";"18,46 %";"2,26"
"128";"GRENDEL UTAMA ISI 5 PACK";"MIE SEDAP GORENG";"5";"0,64 %";"15,62 %";"6,92 %";"2,26"
"129";"KRESEK LOREK JATAYU";"MIE SEDAP GORENG";"6";"0,77 %";"15,38 %";"6,92 %";"2,22"
"130";"MIE SEDAP GORENG";"KRESEK LOREK JATAYU";"6";"0,77 %";"11,11 %";"5,00 %";"2,22"
"131";"MINYAK CURAH BIMOLI";"GULA PUTIH LOKAL";"17";"2,18 %";"40,48 %";"18,46 %";"2,19"
"132";"GULA PUTIH LOKAL";"MINYAK CURAH BIMOLI";"17";"2,18 %";"11,81 %";"5,38 %";"2,19"
"133";"PATI MATAHARI";"GULA PUTIH LOKAL";"6";"0,77 %";"40,00 %";"18,46 %";"2,17"
"134";"MINYAK CURAH BIMOLI";"BUBUK MURNI 0.25 KG";"5";"0,64 %";"11,90 %";"5,51 %";"2,16"
"135";"BUBUK MURNI 0.25 KG";"MINYAK CURAH BIMOLI";"5";"0,64 %";"11,63 %";"5,38 %";"2,16"
"136";"BAWANG PUTIH";"MIE SEDAP GORENG";"5";"0,64 %";"14,71 %";"6,92 %";"2,12"
"137";"MIE SEDAP SOTO";"GG SURYA 12";"8";"1,03 %";"22,22 %";"10,51 %";"2,11"
"138";"TERIGU BIASA";"TELUR RAS A";"5";"0,64 %";"14,29 %";"6,79 %";"2,10"
"139";"KRESEK LOREK JATAYU";"GULA PUTIH LOKAL";"15";"1,92 %";"38,46 %";"18,46 %";"2,08"
"140";"GULA PUTIH LOKAL";"KRESEK LOREK JATAYU";"15";"1,92 %";"10,42 %";"5,00 %";"2,08"
"141";"GULA KELAPA BLITAR";"GULA PUTIH LOKAL";"8";"1,03 %";"38,10 %";"18,46 %";"2,06"
"142";"TELUR RAS A";"GULA PUTIH LOKAL";"20";"2,56 %";"37,74 %";"18,46 %";"2,04"
"143";"GULA PUTIH LOKAL";"TELUR RAS A";"20";"2,56 %";"13,89 %";"6,79 %";"2,04"
"144";"TERIGU BIASA";"GULA PUTIH LOKAL";"13";"1,67 %";"37,14 %";"18,46 %";"2,01"
"145";"TERIGU BIASA";"TAJIMAS KING";"6";"0,77 %";"17,14 %";"8,72 %";"1,97"
"146";"BUBUK MURNI 0.25 KG";"GG SURYA 12";"8";"1,03 %";"18,60 %";"10,51 %";"1,77"
"147";"MASAKO 11 GR SCT SAPI 1 RTG";"GULA PUTIH LOKAL";"6";"0,77 %";"31,58 %";"18,46 %";"1,71"
"148";"MIE SEDAP GORENG";"TAJIMAS KING";"8";"1,03 %";"14,81 %";"8,72 %";"1,70"
"149";"TAJIMAS KING";"MIE SEDAP GORENG";"8";"1,03 %";"11,76 %";"6,92 %";"1,70"
"150";"BAWANG PUTIH";"TAJIMAS KING";"5";"0,64 %";"14,71 %";"8,72 %";"1,69"
"151";"BUBUK MURNI 0.25 KG";"TAJIMAS KING";"6";"0,77 %";"13,95 %";"8,72 %";"1,60"
"152";"BAWANG PUTIH";"GULA PUTIH LOKAL";"10";"1,28 %";"29,41 %";"18,46 %";"1,59"
"153";"BUBUK SATU SATU 250 G";"GULA PUTIH LOKAL";"5";"0,64 %";"29,41 %";"18,46 %";"1,59"
"154";"MIE SEDAP SOTO";"TAJIMAS KING";"5";"0,64 %";"13,89 %";"8,72 %";"1,59"
"155";"MIE SEDAP GORENG";"GG SURYA 12";"9";"1,15 %";"16,67 %";"10,51 %";"1,59"
"156";"GG SURYA 12";"MIE SEDAP GORENG";"9";"1,15 %";"10,98 %";"6,92 %";"1,59"
"157";"TERIGU SEGITIGA";"GULA PUTIH LOKAL";"5";"0,64 %";"26,32 %";"18,46 %";"1,43"
"158";"MINYAK CURAH BIMOLI";"GG SURYA 12";"6";"0,77 %";"14,29 %";"10,51 %";"1,36"
"159";"MIE SEDAP SOTO";"GULA PUTIH LOKAL";"9";"1,15 %";"25,00 %";"18,46 %";"1,35"
"160";"ROSE BRAND 500 GR BERAS";"GULA PUTIH LOKAL";"5";"0,64 %";"23,81 %";"18,46 %";"1,29"
"161";"MIE SEDAP GORENG";"GULA PUTIH LOKAL";"8";"1,03 %";"14,81 %";"18,46 %";"0,80"
"162";"GG SURYA 12";"GULA PUTIH LOKAL";"12";"1,54 %";"14,63 %";"18,46 %";"0,79"
"163";"TAJIMAS KING";"GULA PUTIH LOKAL";"8";"1,03 %";"11,76 %";"18,46 %";"0,64"
